CENTRO O SERVICIO, CON Neocortex (Majadahonda, Madrid)
DIRECCIÓN, Ctra. Boadilla del Monte, 8-44 Local 1 Bl.3
TELÉFONO, 916 39 03 90
E-MAIL, cita@neocortex.com
OTROS DATOS DE INTERÉS, Terapias para niños y orientación a padres
CONSULTOR/A EXTERNO/A, Miguel Gómez Gentil
ORGANIZACIÓN A LA QUE PERTENECE, Fundación Miradas (Burgos)
DIRECTOR/A DE LA ORGANIZACIÓN, Mª Jesús López Juez
PROFESIONAL DE ATENCIÓN DIRECTA, Mª Jesús López Juez
FAMILIA, Sonia Rodríguez Cano
OTROS PARTICIPANTES, Sonia Rodríguez Cano
CONSTITUCIÓN DEL EQUIPO EVALUADO, 08/09/2022
VISITA AL CENTRO, 14/11/2022
PRIMERA SESIÓN DE VALORACIÓN, 16/01/2023
SEGUNDA SESIÓN DE VALORACIÓN, 14/04/2023
TERCERA SESIÓN DE VALORACIÓN, 14/07/2023
CUARTA SESIÓN DE VALORACIÓN, 16/10/2023
